Strategy,Poison %,Accuracy,Recall,F1,AUC
Baseline,0,0.9985,0.9995,0.9989,0.9994
Random,5,0.9988,0.9995,0.9991,0.9999
Random,10,0.998,0.9988,0.9985,0.998
Random,15,0.9986,0.9991,0.9989,0.9998
Random,20,0.9978,0.9968,0.9984,0.9998
Random,25,0.9979,0.9986,0.9984,0.9986
Random,30,0.9939,0.9929,0.9955,0.9975
Targeted,5,0.9988,0.9999,0.9991,1.0
Targeted,10,0.9987,0.9996,0.9991,0.9988
Targeted,15,0.9988,0.9994,0.9991,1.0
Targeted,20,0.9983,0.9993,0.9988,1.0
Targeted,25,0.9976,0.9993,0.9982,0.9993
Targeted,30,0.9987,0.999,0.9991,0.9998
ACWP (Sophisticated),5,0.9985,0.9996,0.9989,0.9971
ACWP (Sophisticated),10,0.9981,0.9996,0.9986,0.9966
ACWP (Sophisticated),15,0.9983,0.9993,0.9987,0.9988
ACWP (Sophisticated),20,0.9978,0.9984,0.9984,0.9979
ACWP (Sophisticated),25,0.9734,0.9618,0.9801,0.9994
ACWP (Sophisticated),30,0.9308,0.8998,0.9465,0.9991
